id,companyId,employeeId,obraId,timeRecordId,mesReferencia,data,tipoInconsistencia,descricao,status,justificativa,resolvidoPor,resolvidoEm,warningId,createdAt,updatedAt
360634,60002,420095,90002,,2025-12,2025-12-19 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360635,60002,420072,90002,,2025-12,2025-12-22 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360636,60002,420083,90002,,2025-12,2025-12-22 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360637,60002,420065,90002,,2025-12,2025-12-19 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360638,60002,420065,90002,,2025-12,2025-12-18 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360639,60002,420065,90002,,2025-12,2025-12-17 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360640,60002,420065,90002,,2025-12,2025-12-15 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360641,60002,420060,90002,,2025-12,2025-12-19 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360642,60002,420111,90002,,2025-12,2025-12-19 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360643,60002,420111,90002,,2025-12,2025-12-15 00:00:00,batida_impar,3 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
360644,60002,420073,90002,,2025-12,2025-12-18 00:00:00,batida_impar,5 batida(s) registrada(s) - número ímpar indica falta de entrada ou saída,pendente,,,,,2026-03-03 22:49:34,2026-03-03 22:49:34
