id,obraId,employeeId,companyId,funcaoNaObra,dataInicio,dataFim,isActive,createdAt
30001,90001,420070,60002,,2026-02-28 00:00:00,2026-02-28 00:00:00,0,2026-02-28 20:25:34
30002,90001,420070,60002,,2026-02-28 00:00:00,2026-03-01 00:00:00,0,2026-02-28 20:39:38
30003,90001,420122,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30004,90001,420056,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30005,90001,420143,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30006,90001,420180,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30007,90001,420149,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30008,90001,420074,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:38
30009,90001,420171,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30010,90001,420081,60002,,2026-02-28 00:00:00,2026-03-10 00:00:00,0,2026-02-28 20:39:39
30011,90001,420089,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30012,90001,420059,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30013,90001,420179,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30014,90001,420147,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30015,90001,420167,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30016,90001,420106,60002,,2026-02-28 00:00:00,2026-03-10 00:00:00,0,2026-02-28 20:39:39
30017,90001,420097,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30018,90001,420157,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30019,90001,420154,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30020,90001,420142,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30021,90001,420126,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30022,90001,420125,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30023,90001,420155,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30024,90001,420178,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30025,90001,420131,60002,,2026-02-28 00:00:00,2026-03-10 00:00:00,0,2026-02-28 20:39:39
30026,90001,420173,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30027,90001,420078,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30028,90001,420054,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30029,90001,420066,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30030,90001,420158,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30031,90001,420162,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30032,90001,420094,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30033,90001,420064,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30034,90001,420057,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30035,90001,420140,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30036,90001,420159,60002,,2026-02-28 00:00:00,2026-03-10 00:00:00,0,2026-02-28 20:39:39
30037,90001,420177,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:39
30038,90001,420135,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:39:40
30039,90004,420087,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30040,90004,420116,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30041,90004,420115,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30042,90004,420176,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30043,90004,420166,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30044,90004,420067,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30045,90004,420058,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:47:46
30046,90005,420144,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30047,90005,420110,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30048,90005,420099,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30049,90005,420101,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30050,90005,420136,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30051,90005,420100,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30052,90005,420109,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:48:37
30053,90005,420181,60002,,2026-02-28 00:00:00,2026-03-07 00:00:00,0,2026-02-28 20:48:37
30054,180001,450001,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:51:56
30055,180001,420084,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:51:56
30056,180001,420124,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:51:56
30057,210001,420165,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30058,210001,420071,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30059,210001,420086,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30060,210001,420161,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30061,210001,420163,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30062,210001,420164,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:53:54
30063,180001,420113,60002,,2026-02-28 00:00:00,2026-02-28 00:00:00,0,2026-02-28 20:54:20
30064,180001,420080,60002,,2026-02-28 00:00:00,2026-02-28 00:00:00,0,2026-02-28 20:54:20
30065,210001,420113,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:54:43
30066,210001,420080,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:54:56
30067,90002,420076,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:55:27
30068,90002,420077,60002,,2026-02-28 00:00:00,,1,2026-02-28 20:55:27
