id;vencimento;descricao;fornecedor;obra;origem;status;valor
"570456";"2019-11-21";"OS #5036 — Substituição de amortecedores dianteiros, coxins de amortecedor, reparo de amortecedor, bieletas e kit estabilizador. Serviço executado.";"OS #5036 — Substituição de amortecedores dianteiros, coxins de amortecedor, reparo de amortecedor, bieletas e kit estabilizador. Serviço executado.";"";"frota_manutencao";"a_pagar";"2375,52"
"571742";"2019-11-21";"OS #5036 — Substituição de amortecedores dianteiros, coxins de amortecedor, reparo de amortecedor, bieletas e kit estabilizador. Serviço executado.";"OS #5036 — Substituição de amortecedores dianteiros, coxins de amortecedor, reparo de amortecedor, bieletas e kit estabilizador. Serviço executado.";"";"frota_manutencao";"a_pagar";"2375,52"
"570457";"2019-11-21";"Suspensão dianteira: amortecedores, coxins, reparo, bieletas, kit estabilizador";"Suspensão dianteira: amortecedores, coxins, reparo, bieletas, kit estabilizador";"";"frota_manutencao";"a_pagar";"2375,52"
"571765";"2022-12-18";"OS #6597 — Serviço executado: substituição de pastilha freio, disco freio, cilindro roda (2), fluido freio (2), reservatório d'água, tampa reservatório, aditivo (2), água desmineralizada (8), correia poliv, tensor correia poliv, tensor auxiliar poliv, kit bicos, descarbonizante, óleo motor (4L), filtro ar, filtro óleo, filtro combustível, coxim câmbio, solvente limp radiador (2) e equalização dos bicos (4). Manutenção preventiva geral com revisão de freios, correia e filtros.";"OS #6597 — Serviço executado: substituição de pastilha freio, disco freio, cilindro roda (2), fluido freio (2), reservatório d'água, tampa reservatório, aditivo (2), água desmineralizada (8), correia poliv, tensor correia poliv, tensor auxiliar poliv, kit";"";"frota_manutencao";"a_pagar";"3320,06"
"571924";"2023-01-31";"Ignição/injeção: jogo de velas, bobina, filtro de combustível, kit/limpeza de bicos, descarbonizante";"Ignição/injeção: jogo de velas, bobina, filtro de combustível, kit/limpeza de bicos, descarbonizante";"";"frota_manutencao";"a_pagar";"942,25"
"571925";"2023-01-31";"OS #6664 — Revisão de motor: substituição de retentor motor, jogo retentor válvula, junta motor, anti chama, mangueira anti chama, reservatório, tampa reservatório, aditivo, água desmeralizada, válvula termostática, silicone, hiner, descarbonizante, válvula admissão, válvula escape, sensor temperatura, câmara válvula, kit bico e produto limpeza bicos. Retífica de motor.";"OS #6664 — Revisão de motor: substituição de retentor motor, jogo retentor válvula, junta motor, anti chama, mangueira anti chama, reservatório, tampa reservatório, aditivo, água desmeralizada, válvula termostática, silicone, hiner, descarbonizante, válvu";"";"frota_manutencao";"a_pagar";"3076,49"
"571828";"2023-02-15";"OS #6679 — Serviço executado: kit embreagem, coxim câmbio, cinta plástica";"OS #6679 — Serviço executado: kit embreagem, coxim câmbio, cinta plástica";"";"frota_manutencao";"a_pagar";"2151,74"
"571805";"2023-04-24";"OS #6778 — Substituição de ventuinha e resistência do sistema de arrefecimento/ventilação.";"OS #6778 — Substituição de ventuinha e resistência do sistema de arrefecimento/ventilação.";"";"frota_manutencao";"a_pagar";"1440,00"
"571809";"2023-04-24";"Arrefecimento: ventoinha + resistência";"Arrefecimento: ventoinha + resistência";"";"frota_manutencao";"a_pagar";"1440,00"
"571923";"2023-05-12";"OS #6816 — Substituição de caixa rótula, alavanca de marcha e kit trambulador.";"OS #6816 — Substituição de caixa rótula, alavanca de marcha e kit trambulador.";"";"frota_manutencao";"a_pagar";"703,33"
"571832";"2023-06-23";"OS #6882 — Serviço executado: concerto caixa direção, coxim câmbio, coxim motor, óleo motor";"OS #6882 — Serviço executado: concerto caixa direção, coxim câmbio, coxim motor, óleo motor";"";"frota_manutencao";"a_pagar";"2307,00"
"571762";"2023-06-23";"OS #6880 — Serviço executado: substituição de kit bicos e produto limpeza bicos (4 unid). Atenção: marca registrada na OS como 'GM', possivelmente erro de cadastro.";"OS #6880 — Serviço executado: substituição de kit bicos e produto limpeza bicos (4 unid). Atenção: marca registrada na OS como 'GM', possivelmente erro de cadastro.";"";"frota_manutencao";"a_pagar";"512,00"
"571922";"2023-07-03";"OS #6894 — Revisão de câmbio: substituição de engrenagem da 4ª, rol 4ª engrenagem, espaçador da 4ª engrenagem, rol primário, retentor eixo piloto, luva da 2ª marcha, reten da 2ª marcha, silicone loctatti, óleo câmbio. Inclui serviço câmbio e serviço eletrecista.";"OS #6894 — Revisão de câmbio: substituição de engrenagem da 4ª, rol 4ª engrenagem, espaçador da 4ª engrenagem, rol primário, retentor eixo piloto, luva da 2ª marcha, reten da 2ª marcha, silicone loctatti, óleo câmbio. Inclui serviço câmbio e serviço eletr";"";"frota_manutencao";"a_pagar";"3768,00"
"571898";"2023-07-31";"Suspensão/freios: pivôs, bandejas, amortecedores, buchas, pastilhas/sapatas, cilindros (roda/mestre), fluido de freio";"Suspensão/freios: pivôs, bandejas, amortecedores, buchas, pastilhas/sapatas, cilindros (roda/mestre), fluido de freio";"";"frota_manutencao";"a_pagar";"5360,00"
"571903";"2023-07-31";"OS #6937 — Manutenção corretiva: substituição de pivo, bandeija inferior, amortecedor dianteiro, jogo pastilha, bucha feixe, jogo sapata freio, cilindro roda traseiro, fluido freio, reparo sapata freio e cilindro mestre.";"OS #6937 — Manutenção corretiva: substituição de pivo, bandeija inferior, amortecedor dianteiro, jogo pastilha, bucha feixe, jogo sapata freio, cilindro roda traseiro, fluido freio, reparo sapata freio e cilindro mestre.";"";"frota_manutencao";"a_pagar";"5360,00"
"571837";"2023-08-31";"OS #6973 — Serviço executado: coxim motor";"OS #6973 — Serviço executado: coxim motor";"";"frota_manutencao";"a_pagar";"520,00"
"571760";"2023-12-02";"OS #7102 — Serviço executado: substituição de coxim motor, junta coletor escape, veda escape, anel vedação escape, kit bicos, produto limpeza bicos (4 unid) e retirada catalizador.";"OS #7102 — Serviço executado: substituição de coxim motor, junta coletor escape, veda escape, anel vedação escape, kit bicos, produto limpeza bicos (4 unid) e retirada catalizador.";"";"frota_manutencao";"a_pagar";"1244,00"
"571841";"2023-12-11";"OS #7110 — Serviço executado: terminal direção, kit estabilizador, bieletas, bandeija, jogo vela, trava pastilha, sensor temperatura, descarbonizante, serviço eletrecista";"OS #7110 — Serviço executado: terminal direção, kit estabilizador, bieletas, bandeija, jogo vela, trava pastilha, sensor temperatura, descarbonizante, serviço eletrecista";"";"frota_manutencao";"a_pagar";"2919,00"
